Puntos,Dirección,,,,,
230,Av. 1 de Mayo con Calle 35B Sur,,,,,
155,Calle 144 con Carrera 136A,,,,,
130,Calle 19 con Carrera 12,,,,,
125,Calle 63 Sur con Carrera 93C,,,,,
120,Av. Ciudad de Cali con Calle 52A,,,,,
120,Av. Tintal con Calle 58 Sur,,,,,
110,Calle 144 con Carrera 145,,,,,
110,Calle 38C Sur con Carrera 78K,,,,,
105,Calle 24 con Carrera 72C,,,,,
90,Av. Ciudad de Cali con Calle 128C,,,,,
90,Av. Ciudad de Cali con Calle 133A,,,,,
90,Av. Ciudad de Cali con Carrera 93C,,,,,
90,Av. Suba con Carrera 91,,,,,
90,Av. Tintal con Calle 2,,,,,
85,Calle 19 con Carrera 5,,,,,
80,Calle 143B con Carrera 128,,,,,
80,Calle 17 con Carrera 100,,,,,
75,Av. Ciudad de Cali con Av. El Dorado,,,,,
75,Av. Ciudad de Cali con Calle 13,,,,,
75,Calle 145 con Carrera 115,,,,,
60,Calle 144 con Carrera 147C,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
